epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,252.706,0.75815,0.80132,1.05549,0.84187,0.48292,0.53685,0.26512,1.84191,2.10084,1.51176,1.52077e-05,1.52077e-05,1.52077e-05
88,255.111,0.7978,0.87779,1.38298,0.84009,0.48277,0.53433,0.26423,1.85373,2.10663,1.51179,1.43596e-05,1.43596e-05,1.43596e-05
89,257.433,0.99984,0.93404,1.48378,0.84009,0.48277,0.53433,0.26423,1.85373,2.10663,1.51179,1.34879e-05,1.34879e-05,1.34879e-05
90,260.083,0.65031,0.63846,1.01091,0.84009,0.48277,0.53433,0.26423,1.85373,2.10663,1.51179,1.25927e-05,1.25927e-05,1.25927e-05
91,262.46,0.46075,0.51763,0.89019,0.84009,0.48277,0.53433,0.26423,1.85373,2.10663,1.51179,1.16739e-05,1.16739e-05,1.16739e-05
92,264.838,0.71579,0.70122,0.99521,0.83652,0.48469,0.53404,0.28824,1.86845,2.05634,1.50035,1.07315e-05,1.07315e-05,1.07315e-05
93,267.096,0.47648,0.45749,0.98661,0.83652,0.48469,0.53404,0.28824,1.86845,2.05634,1.50035,9.76562e-06,9.76562e-06,9.76562e-06
94,269.484,0.54759,0.4358,0.88688,0.83652,0.48469,0.53404,0.28824,1.86845,2.05634,1.50035,8.77613e-06,8.77613e-06,8.77613e-06
95,271.641,0.43142,0.45474,0.89769,0.83652,0.48469,0.53404,0.28824,1.86845,2.05634,1.50035,7.76308e-06,7.76308e-06,7.76308e-06
96,273.906,0.43966,0.50614,0.96114,0.8418,0.46534,0.54917,0.29427,1.77396,1.97908,1.44471,6.72648e-06,6.72648e-06,6.72648e-06
97,276.157,0.69408,0.60103,1.05677,0.8418,0.46534,0.54917,0.29427,1.77396,1.97908,1.44471,5.6663e-06,5.6663e-06,5.6663e-06
98,278.489,0.51762,0.48813,0.90983,0.8418,0.46534,0.54917,0.29427,1.77396,1.97908,1.44471,4.58257e-06,4.58257e-06,4.58257e-06
99,280.762,0.47682,0.45989,0.90962,0.8418,0.46534,0.54917,0.29427,1.77396,1.97908,1.44471,3.47528e-06,3.47528e-06,3.47528e-06
100,283.005,0.56176,0.49832,1.00627,0.83133,0.46667,0.57938,0.32018,1.69998,1.8437,1.41555,2.34442e-06,2.34442e-06,2.34442e-06
